physical.condition_raw,merge.figure,physical.condition_main_analysis,physical.condition_sub_analysis,assigned.age,total.N,autism.N,rep.effect,SE,rep.metric,AorR
Epilepsy,Neuropsy,Epilepsy_frequency,,23.2,,2917,0.155,0.0067,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,26.5,,195,0.1692,0.02685,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,20.5,,60,0.3833,0.06277,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,10,,8760,0.0287,0.00178,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,2.9,,100,0.06,0.02375,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,29.2,,5276,0.1063,0.00424,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,29.2,,9105,0.2455,0.00451,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,6.2,,4910,0.0919,0.00412,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9.46,,303,0.2013,0.02304,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,10,,610,0.082,0.01111,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9.4,,91,0.1868,0.04086,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,6.91,,405,0.6642,0.02347,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,5,,2114,0.0251,0.0034,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,7.2,,1221,0.0344,0.00522,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,12,,105,0.1048,0.02989,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9.5,,8398,0.1266,0.00363,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,5.5,,331,0.0937,0.01602,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,13,,267,0.0712,0.01574,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,5.5,,331,0.0937,0.01602,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,18,,20492,0.0634,0.0017,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,15,,74,0.2568,0.05078,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,11,,86,0.0814,0.02949,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,7.59,,192,0.1146,0.02299,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9.2,,728,0.122,0.01213,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9,,2623,0.049,0.00421,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9.5,,120,0.775,0.03812,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,7.7,,197,0.4313,0.03529,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,7.6,,212,0.3302,0.0323,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,8,,4316,0.1816,0.00587,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,15.66,,70,0.2,0.04781,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,3.5,,2959,0.0382,0.00352,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,8,,17420,0.0521,0.00168,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,14.5,,15086,0.0704,0.00208,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,21,,8370,0.1092,0.00341,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,37,,2722,0.1176,0.00617,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,60,,386,0.0466,0.01073,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,3.5,,3440,0.0541,0.00386,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,8,,19527,0.074,0.00187,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,14.5,,12954,0.1038,0.00268,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,21,,6716,0.1662,0.00454,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,37,,3807,0.2309,0.00683,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,60,,252,0.2063,0.02549,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,7,,2923,0.0284,0.00307,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,14.5,,3371,0.0406,0.0034,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,21,,2467,0.0786,0.00542,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,37,,1667,0.141,0.00852,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,60,,428,0.1495,0.01724,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,4,,783,0.0281,0.00591,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,8,,1091,0.0302,0.00518,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,10.81,,167,0.097,0.0229,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9.71,,746,0.106,0.01127,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,3,,120,0.05,0.0199,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,6,,296,0.0541,0.01315,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9.5,,522,0.09,0.01253,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,13,,334,0.1168,0.01757,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,16,,332,0.1295,0.01843,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,5,,922,0.039,0.00638,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,8,,788,0.0431,0.00723,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,11,,495,0.0566,0.01039,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,14,,299,0.1003,0.01737,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,17,,141,0.078,0.02258,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,24,,22,0.455,0.0969,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,11,,13,0.077,0.0816,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,7.7,,41,0.268,0.0663,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,7,,37,0.216,0.0663,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9,,23,0.087,0.0638,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,7.7,,59,0.441,0.0638,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,6.3,,49,0.224,0.0587,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,25.5,,73,0.411,0.0561,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,24,,48,0.188,0.0561,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,5.71,,54,0.241,0.0561,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,25.5,,55,0.255,0.0561,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,7.7,,34,0.118,0.0561,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,26.5,,28,0.071,0.0536,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,10.1,,77,0.351,0.0536,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,7.7,,90,0.456,0.051,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,13.5,,59,0.169,0.0485,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,12.5,,54,0.148,0.0485,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,25.5,,108,0.398,0.0459,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,6.8,,57,0.14,0.0459,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,36.1,,92,0.293,0.0459,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,30,,83,0.181,0.0434,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,48.5,,89,0.225,0.0434,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,8.5,,118,0.737,0.0408,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,4.85,,104,0.192,0.0383,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,5,,62,0.097,0.0383,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,13.3,,81,0.148,0.0383,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,52.4,,143,0.252,0.0357,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,21,,130,0.254,0.0357,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9,,89,0.101,0.0332,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,6.58,,112,0.152,0.0332,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,33.3,,147,0.177,0.0332,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,32.61,,150,0.22,0.0332,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,49.9,,148,0.23,0.0332,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,4,,50,0.04,0.0306,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,28.5,,150,0.193,0.0306,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,6,,160,0.138,0.0281,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,6,,160,0.138,0.0281,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,24.04,,191,0.152,0.0255,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,4.11,,106,0.047,0.023,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,44.5,,255,0.192,0.023,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,10.5,,345,0.249,0.023,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,11,,328,0.244,0.023,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,8,,295,0.241,0.023,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,11.4,,100,0.04,0.0204,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,6.5,,125,0.056,0.0204,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9.6,,177,0.062,0.0179,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9.3,,1014,0.37,0.0153,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,0.9,,577,0.109,0.0128,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,5.52,,203,0.03,0.0128,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,29,,1507,0.119,0.0102,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,29,,1772,0.227,0.0102,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,67,,4685,0.264,0.0077,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,8,,634,0.054,0.0077,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,8.3,,883,0.093,0.0077,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,3.81,,3440,0.136,0.0077,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,8,,2568,0.155,0.0077,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,8.5,,2352,0.112,0.0077,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,17.5,,4790,0.159,0.0051,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,12,,5651,0.05,0.0051,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,5.5,,4705,0.066,0.0026,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,12.54,,20194,0.045,0.0026,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,8,,7773,0.049,0.0026,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,8,,2352,0.026,0.0026,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9.7,,8325,0.082,0.0026,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,18.39,,4123,0.085,0.0026,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,18.3,,4180,0.055,0.0026,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,9,,16940,0.013,0.0001,frequency,frequency
Epilepsy,Neuropsy,Epilepsy_frequency,,38.5,,35929,0.052,0.0001,frequency,frequency
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,12.78,91,31,-0.4634,0.2238,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,12.78,91,31,-0.9632,0.2324,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,20.5,26,13,-0.2551,0.394,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,20.5,26,13,-0.4995,0.3987,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,16.6,61,29,-0.388,0.2588,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,12,34,17,-0.1147,0.3432,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,12,34,17,-0.5304,0.349,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,12,34,17,-0.8359,0.3576,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,12,34,17,-1.0217,0.3647,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,12,34,17,-1.2375,0.3744,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,11,89,34,-0.2437,0.2189,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,11,89,34,-0.4889,0.2214,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,11,89,34,-0.5191,0.2216,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,20.4,36,21,-0.0976,0.3338,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,20.4,36,21,-0.1681,0.3345,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,20.4,36,21,-0.7302,0.3493,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,15.08,35,10,0,0.3742,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,15.08,35,10,-0.2191,0.3751,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,15.08,35,10,-0.3316,0.3763,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,15.08,35,10,-0.4077,0.3774,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,15.7,31,13,-0.5246,0.3704,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,9.5,40,20,0.0173,0.3162,SMD,SMD
Eye_contrast sensitivity,Sensation,Eye_contrast sensitivity_SMD,,32.6,40,20,-0.4042,0.3195,SMD,SMD
Eye_General vision problem,Sensation,Eye_General vision problem_ratio,,7.4,10876743,61167,1.4594,0.01,OR,ratio
Eye_General vision problem,Sensation,Eye_General vision problem_ratio,,7.4,10876743,61167,1.3076,0.0387,OR,ratio
Eye_General vision problem,Sensation,Eye_General vision problem_ratio,,7.4,10876743,61167,0.9198,0.0574,OR,ratio
Eye_General vision problem,Sensation,Eye_General vision problem_ratio,,12.1,95,51,1.2714,0.5628,OR,ratio
Eye_General vision problem,Sensation,Eye_General vision problem_ratio,,49.6,454,118,0.4693,0.3135,OR,ratio
Eye_General vision problem,Sensation,Eye_General vision problem_ratio,,49.6,454,118,0.8428,0.6796,OR,ratio
Eye_General vision problem,Sensation,Eye_General vision problem_ratio,,49.6,454,118,1.3596,0.7714,OR,ratio
Eye_General vision problem,Sensation,Eye_General vision problem_ratio,,49.6,454,118,2,0.8437,OR,ratio
Eye_General vision problem,Sensation,Eye_General vision problem_ratio,,49.6,454,118,2.4702,1.1233,OR,ratio
Eye_General vision problem,Sensation,Eye_General vision problem_ratio,,30,3746584,6649,1.4485,0.0374,OR,ratio
Eye_General vision problem,Sensation,Eye_General vision problem_ratio,,7.5,916331,17348,2.3605,0.0458,OR,ratio
Eye_General vision problem,Sensation,Eye_General vision problem_ratio,,7.5,916331,17348,1.972,0.0624,OR,ratio
Eye_General vision problem,Sensation,Eye_General vision problem_ratio,,10.3,85482,1624,1.5886,0.1086,OR,ratio
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,10.6,64,31,-0.6461,0.2565,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,12.78,91,31,0,0.2347,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,10.9,319,113,-0.2054,0.1175,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,38.93,30,15,4.1076,0.6438,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,19.8,60,34,0.036,0.2606,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,13.85,26,13,1.8354,0.4675,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,15.05,44,22,-0.5016,0.506,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,15.05,44,22,-1.7661,0.669,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,24.9,49,24,-0.3394,0.2877,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,19.63,34,19,-0.0058,0.3454,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,19.63,34,19,-0.1553,0.346,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,19.63,34,19,-0.332,0.3479,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,19.63,34,19,-0.3426,0.348,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,13.28,66,27,0.0096,0.2504,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,13.28,66,27,0.6888,0.2575,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,30.4,40,20,-0.086,0.3164,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,30.4,40,20,-0.3407,0.3186,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,39.5,66,33,0,0.2462,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,39.5,66,33,-0.1657,0.2466,SMD,SMD
Eye_Visual acuity,Sensation,Eye_Visual acuity_SMD,,39.5,66,33,-0.2298,0.247,SMD,SMD
fecal incontinence,Neuropsy,Elimination disorder_frequency,Fecal incontinence_frequency,12.8,,25,0.12,0.06499,frequency,frequency
fecal incontinence,Neuropsy,Elimination disorder_frequency,Fecal incontinence_frequency,5.5,,100,0.07,0.02551,frequency,frequency
fecal incontinence,Neuropsy,Elimination disorder_frequency,Fecal incontinence_frequency,6.8,,54,0.3148,0.0632,frequency,frequency
fecal incontinence,Neuropsy,Elimination disorder_frequency,Fecal incontinence_frequency,11.3,,40,0.125,0.05229,frequency,frequency
fecal incontinence,Neuropsy,Elimination disorder_frequency,Fecal incontinence_frequency,12.7,,40,0.025,0.02469,frequency,frequency
fecal incontinence,Neuropsy,Elimination disorder_frequency,Fecal incontinence_frequency,12.7,,18,0.0556,0.05399,frequency,frequency
fecal incontinence,Neuropsy,Elimination disorder_frequency,Fecal incontinence_frequency,8.5,,34,0.142,0.05986,frequency,frequency
fecal incontinence,Neuropsy,Elimination disorder_frequency,Fecal incontinence_frequency,11.5,,112,0.066,0.02346,frequency,frequency
fecal incontinence,Neuropsy,Elimination disorder_frequency,Fecal incontinence_frequency,10,,59,0.0508,0.0286,frequency,frequency
fecal incontinence,Neuropsy,Elimination disorder_frequency,Fecal incontinence_frequency,6.83,,78,0.6538,0.05387,frequency,frequency
fecal incontinence,Neuropsy,Elimination disorder_frequency,Fecal incontinence_frequency,6.5,,24,0.875,0.06751,frequency,frequency
Food allergy,Allergy,Allergic disease_frequency,,3.5,,220,0.1864,0.02625,frequency,frequency
Food allergy,Allergy,Allergic disease_frequency,,4.8,,107,0.8224,0.03694,frequency,frequency
Food allergy,Allergy,Allergic disease_frequency,,7.6,,26,0.9615,0.03771,frequency,frequency
Food allergy,Allergy,Allergic disease_frequency,,10,,375,0.096,0.01521,frequency,frequency
Food allergy,Allergy,Allergic disease_frequency,,12.15,,5565,0.0088,0.00125,frequency,frequency
Food allergy,Allergy,Food allergy_ratio,,10,35775,375,2.4,0.2207,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,15,"33,390",5565,1.32,0.3015,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,8.5,"33,390",5565,2.22,0.245,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,5,"33,390",5565,2.11,0.364,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,3.5,114,45,0.74,0.6448,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,7.44,109,59,0.71,0.6423,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,7,38639,3911,1.64,0.1034,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,1.75,40325,195,2,0.2217,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,3.5,823,499,2.4,0.2062,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,2.5,16490,220,3.59,0.1763,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,10,84889,483,4.5,0.2161,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,12.5,111,61,1.66,1.2333,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,3.5,441,560,2.23,0.2836,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,6.94,227,115,2.85,0.4998,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,9.5,52595,905,2.64,0.0999,OR,ratio
Food allergy,Allergy,Food allergy_ratio,,10,197787,1868,2.9,0.0726,OR,ratio
Gait abnormalities,Neuropsy,Motor disease_frequency,,9.2,,728,0.246,0.01596,frequency,frequency
GI problem,GI,Gastrointestinal problem,,10,,80,0.539,0.056,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,8.4,,50,0.5,0.07071,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,10,,375,0.026,0.00822,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,8,,487,0.0719,0.0117,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,9.5,,3763,0.2142,0.00669,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,10,,59,0.4237,0.06433,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,9.2,,728,0.424,0.01832,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,9,,2623,0.427,0.00966,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,9.5,,120,0.1417,0.03184,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,7.7,,197,0.2437,0.03059,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,7.6,,212,0.1085,0.02136,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,8,,4316,0.0343,0.00277,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,3.5,,59,0.4915,0.06509,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,9,,96,0.4896,0.05102,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,15.5,,9,0.4444,0.16563,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,10,,80,0.4,0.05477,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,11,,"83,500",1,0.00173,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,7.5,,40,0.825,0.06008,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,4,,96,0.0938,0.02976,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,4.5,,176,0.9318,0.019,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,22,,"2,187",1,0.01068,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,10,,118,0.8051,0.03647,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,9,,421,0.323,0.02279,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,44,,107,0.8598,0.03356,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,11,,20,0.35,0.10665,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,11,,102,0.5196,0.04947,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,7,,51,0.549,0.06968,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,11,,129,0.8217,0.0337,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,11,,121,0.719,0.04086,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,11,,56,1,0.0001,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,17,,"14,381",0,0.00268,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,12,,58,0.3448,0.06241,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,11,,107,0.2617,0.04249,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,8,,37,0.5135,0.08217,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,6,,336,0.253,0.02372,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,10,,120,0.8417,0.03332,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,10,,87,0.7931,0.04343,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,12,,56,0.7321,0.05918,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,10,,100,0.68,0.04665,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,10,,"2,973",0.2466,0.00791,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,5,,137,0.2409,0.03653,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,29,,118,0.3051,0.04239,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,11,,172,0.2267,0.03193,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,27,,845,0.3053,0.01584,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,38,,79,0.3165,0.05233,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,9,,205,0.2146,0.02867,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,7,,39,0.8718,0.05353,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,10,,51,0.3529,0.06692,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,10,,473,0.1712,0.01732,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,10,,50,0.7,0.06481,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,10,,50,0.66,0.06699,frequency,frequency
GI problem,GI,Gastrointestinal problem_frequency,,8,,"3,253",0,0.00847,frequency,frequency
